CaseID$,CNTYNAME,STATE,FIPST,FIPCNT,ADVCH,ARMENIAN,CPRIMBAP,DUCKRIV,FREEBAP,FREEWIL,GENBAP,NNATBAP,NORTHBAP,NSNCBAP,UAFCBAP,PRIMBAP,SOUNCBAP,UNITBAP,BUDDHIST,CHRREF,CHRCONN,CHCHRIST,CHGNAGE,CHCHRSCI,CHLVGOD,CONGREG,CONGMETH,DISCIPLE,DUNKCON,DUNKPROG,EVANASS,FREECHZ,FRHICK,FRORTH,GERMEVMA,GERMEVSY,GREEKORT,JEWISH,CJCLDS,LDSREORG,LUTHAPOS,FINNNAT,FINNSYN,LUTHGEN,LUTHGSYN,LUTHTEX,LUTHHAUG,LUTHOHIO,LUTHNORF,LUTHNORW,LUTHNORS,LUTHCONF,LUTHMICH,LUTHIOWA,LUTHDAN,LUTHUNOR,LUTHSOUT,MENNON,MENNGEN,AFRMETH,AME,AMEZION,COLMETH,METHOD,METHEPIS,METHEPS,FREEMETH,METHPROT,MORAVIAN,NONSECT,OTHER,PENTNAZ,POLISH,PRESBREF,PRESBUS,PRESBUSA,COLCUMB,CUMBPRES,UNITPRES,WELSHPRS,PROTEPIS,OTHPROT,TOTPROT,REFAMER,REFUS,REFZION,CATHOLIC,SALVARMY,SERVORTH,SEVDAYAD,SPIRIT,SWEDEVAN,UNITAR,UNITBRET,UNITEVAN,UNIVER
686,DAVIESS,INDIANA,18,14,0,0,0,0,0,0,43,896,0,0,0,0,0,0,0,0,0,518,0,0,0,0,0,1492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,2513,0,0,0,0,0,20,0,0,0,0,330,0,140,0,0,23,191,8031,0,0,0,5177,0,0,0,0,0,0,1803,0,0
687,DE KALB,INDIANA,18,17,0,0,0,0,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713,131,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,774,0,0,0,0,0,0,378,0,0,0,0,0,0,0,0,0,0,0,0,2336,0,0,401,0,0,0,0,0,0,0,162,0,0,0,0,41,653,7415,0,236,0,778,0,0,0,0,0,0,1116,0,0
688,DEARBORN,INDIANA,18,15,0,0,0,0,0,0,0,1007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,771,0,0,0,906,0,0,0,0,0,0,0,0,0,0,0,0,2147,0,0,159,0,0,0,0,0,0,0,859,0,0,0,0,50,511,7217,0,0,0,3606,0,0,0,0,0,0,0,0,0
689,DECATUR,INDIANA,18,16,0,0,0,0,0,0,0,1788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,2475,0,0,0,0,0,0,0,0,0,0,943,0,0,0,0,20,434,6927,0,0,0,1355,0,0,0,0,0,0,569,0,0
690,DELAWARE,INDIANA,18,18,0,0,0,0,0,0,0,757,0,0,0,37,0,0,0,0,1551,0,0,0,0,0,0,1817,370,0,0,0,0,373,0,37,0,21,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,0,0,0,0,4317,0,0,453,0,0,85,0,0,0,0,1044,0,0,0,0,148,1091,13600,0,0,0,0,0,0,0,0,0,0,1264,0,0
691,DUBOIS,INDIANA,18,19,0,0,0,0,0,0,99,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,409,0,0,230,0,0,0,0,1339,0,0,0,0,0,0,0,0,0,0,0,497,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,975,0,0,0,0,0,0,0,0,0,0,0,0,412,0,0,0,1118,5382,0,0,0,8693,0,0,0,0,0,0,0,0,0
692,ELKHART,INDIANA,18,20,0,0,0,0,0,0,0,679,0,0,0,0,0,0,0,0,434,0,0,0,0,0,0,337,1744,0,965,0,0,0,0,180,0,32,0,0,0,0,0,0,973,0,0,151,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,3031,0,0,120,0,0,25,0,0,0,0,837,0,0,0,0,379,4475,15643,0,355,0,655,0,0,0,0,0,0,733,0,0
693,FAYETTE,INDIANA,18,21,0,0,0,0,0,0,0,253,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,1941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,1953,0,0,0,0,0,17,0,0,0,0,556,0,0,0,0,60,229,5281,0,0,0,1071,0,0,0,0,0,0,68,0,0
694,FLOYD,INDIANA,18,22,0,0,0,0,0,0,0,839,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,1541,0,0,0,0,0,0,0,755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,3230,0,0,0,0,0,26,0,0,0,0,1164,0,0,0,0,160,215,8527,0,0,0,4406,0,0,0,0,0,0,380,0,0
695,FOUNTAIN,INDIANA,18,23,0,0,0,0,0,0,0,475,0,0,0,23,0,0,0,0,1120,121,0,0,0,0,0,1283,0,0,0,0,0,91,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1430,0,0,0,0,0,0,0,0,0,0,439,0,40,0,0,26,358,6484,0,0,0,0,0,0,0,0,0,0,1078,0,0
696,FRANKLIN,INDIANA,18,24,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1647,0,0,41,0,0,25,0,0,0,0,260,0,0,0,0,0,755,3591,0,0,0,5437,0,0,0,0,0,0,382,0,0
697,FULTON,INDIANA,18,25,0,0,0,0,0,0,0,950,0,0,0,0,0,0,0,0,255,0,0,0,0,0,0,370,54,0,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,50,0,0,42,0,0,0,0,339,0,0,0,0,15,396,5214,0,40,0,210,0,0,0,0,0,0,846,0,0
698,GIBSON,INDIANA,18,26,0,0,0,0,0,0,1758,472,0,0,0,356,0,0,0,0,216,0,0,0,0,0,0,803,0,0,141,0,0,0,0,464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,2037,0,0,0,0,0,0,0,0,0,0,358,0,1046,0,0,22,657,8847,0,0,0,1803,0,0,0,0,0,0,305,0,0
699,GRANT,INDIANA,18,27,0,0,0,0,0,0,0,545,0,0,0,124,0,0,0,0,675,315,0,0,0,0,0,332,43,0,0,0,0,3030,0,0,0,62,0,0,0,0,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,408,0,0,0,0,3681,0,0,1123,0,0,18,0,0,0,0,609,0,0,0,0,150,1094,13438,0,76,0,468,0,0,0,0,0,0,1110,0,0
700,GREENE,INDIANA,18,28,0,0,0,0,0,0,78,1572,0,0,0,38,0,0,0,0,0,840,0,0,0,0,0,1610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,3199,0,0,257,0,0,0,0,0,0,0,216,0,175,0,0,26,386,8844,0,149,0,595,0,0,0,0,0,0,280,0,0
701,HAMILTON,INDIANA,18,29,0,0,0,0,0,0,0,223,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,2118,111,0,135,0,0,2785,0,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,107,0,0,0,0,0,0,0,75,0,0,0,0,2734,0,0,0,0,0,17,0,0,0,0,174,0,0,0,0,0,509,9701,0,0,0,94,0,0,0,0,0,0,470,0,0
702,HANCOCK,INDIANA,18,30,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,1364,22,0,0,0,0,859,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,2331,0,0,781,0,0,0,0,0,0,0,261,0,0,0,0,0,300,7027,0,0,0,332,0,0,0,0,0,0,583,0,0
703,HARRISON,INDIANA,18,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,371,0,0,0,0,0,0,0,90,0,0,0,0,2263,0,0,0,0,0,113,0,0,0,0,525,0,0,0,0,0,248,7167,0,133,0,2042,0,0,0,0,0,0,2588,0,0
704,HENDRICKS,INDIANA,18,32,0,0,0,0,0,0,0,888,0,0,0,406,0,0,0,0,56,0,0,0,0,0,0,2708,0,0,0,0,0,1393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,1964,0,0,150,0,0,0,0,0,0,0,115,0,220,0,0,0,271,8238,0,0,0,321,0,0,0,0,0,0,0,0,0
705,HENRY,INDIANA,18,33,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,842,32,0,0,0,0,0,1802,187,0,0,0,0,2631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1998,0,0,107,0,0,0,0,0,0,0,515,0,0,0,0,21,701,9441,0,0,0,230,0,0,0,0,0,0,492,0,0
706,HOWARD,INDIANA,18,34,0,0,0,0,0,0,0,644,0,0,0,0,0,0,0,0,468,129,0,0,0,0,0,1635,122,0,133,0,0,1827,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,115,0,0,0,0,2473,0,0,197,0,0,0,0,0,0,0,190,0,0,0,0,98,1260,10253,0,0,0,0,0,0,0,0,0,0,879,0,0
707,HUNTINGTON,INDIANA,18,35,0,0,0,0,0,0,0,295,0,0,0,90,0,0,0,0,1219,0,0,0,0,0,0,1729,717,0,500,0,0,0,0,307,0,0,0,0,0,0,0,0,90,0,0,100,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,2360,0,0,45,0,0,0,0,0,0,0,350,0,0,0,0,25,892,10702,0,400,0,673,0,0,0,0,0,0,1203,0,0
